Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID,Supervisor Districts,Fire Prevention Districts,Current Police Districts,Neighborhoods - Analysis Boundaries,Zip Codes,Neighborhoods (old),Police Districts,Civic Center Harm Reduction Project Boundary,HSOC Zones,Central Market/Tenderloin Boundary Polygon - Updated
192780666,70,19119328,Medical Incident,10/5/2019,10/4/2019,10/5/2019 6:53,10/5/2019 6:54,10/5/2019 6:54,10/5/2019 6:55,10/5/2019 7:03,,,Against Medical Advice,10/5/2019 8:00,1500 Block of 7TH AVE,San Francisco,94122,B08,22,7331,3,3,3,TRUE,Potentially Life-Threatening,1,MEDIC,2,8,7,Inner Sunset,"(37.75946872471556, -122.46391578590715)",192780666-70,4,1,8,14,56,12,5,,,
200230321,E01,20009609,Medical Incident,1/23/2020,1/22/2020,1/23/2020 4:22,1/23/2020 4:23,1/23/2020 4:23,1/23/2020 4:25,1/23/2020 4:28,,,Code 2 Transport,1/23/2020 4:35,900 Block of MARKET ST,San Francisco,94103,B02,1,2248,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,3,6,South of Market,"(37.78269112134719, -122.40953666269209)",200230321-E01,9,14,2,34,28853,34,2,1,,1
192910242,94,19125195,Medical Incident,10/18/2019,10/17/2019,10/18/2019 2:52,10/18/2019 2:53,10/18/2019 2:54,10/18/2019 2:54,10/18/2019 2:58,,,Unable to Locate,10/18/2019 3:05,1000 Block of MARKET ST,San Francisco,94103,B02,1,2248,3,3,3,TRUE,Potentially Life-Threatening,1,MEDIC,1,3,6,South of Market,"(37.78128768709087, -122.41131805537074)",192910242-94,9,14,2,34,28853,34,2,1,1,1
193152192,E02,19136168,Medical Incident,11/11/2019,11/11/2019,11/11/2019 14:14,11/11/2019 14:15,11/11/2019 14:16,11/11/2019 14:16,11/11/2019 14:18,,,Code 2 Transport,11/11/2019 14:37,900 Block of POWELL ST,San Francisco,94108,B01,2,1355,3,3,3,FALSE,Potentially Life-Threatening,1,ENGINE,1,1,3,Chinatown,"(37.79342018032697, -122.40938868300002)",193152192-E02,10,3,1,6,28857,4,1,,,
193430399,56,19148201,HazMat,12/9/2019,12/8/2019,12/9/2019 5:11,12/9/2019 5:16,12/9/2019 5:23,12/9/2019 5:24,12/9/2019 5:26,12/9/2019 5:35,12/9/2019 5:44,Code 2 Transport,12/9/2019 6:20,3000 Block of 16TH ST,San Francisco,94103,B02,7,5236,3,3,3,TRUE,Fire,1,MEDIC,3,2,9,Mission,"(37.76504135417862, -122.42074619058751)",193430399-56,7,8,7,20,28853,19,4,,3,
192843414,91,19122455,Medical Incident,10/11/2019,10/11/2019,10/11/2019 18:16,10/11/2019 18:17,10/11/2019 18:18,10/11/2019 18:18,,,,Code 2 Transport,10/11/2019 18:19,2200 Block of 40TH AVE,San Francisco,94116,B08,18,7635,3,3,3,TRUE,Potentially Life-Threatening,1,MEDIC,3,8,4,Sunset/Parkside,"(37.74485947982278, -122.49831758459455)",192843414-91,3,1,5,35,29491,35,8,,,
193411065,87,19147302,Medical Incident,12/7/2019,12/7/2019,12/7/2019 9:24,12/7/2019 9:25,12/7/2019 9:25,12/7/2019 9:26,12/7/2019 9:30,,,Code 2 Transport,12/7/2019 10:20,200 Block of AVALON AVE,San Francisco,94112,B09,43,6131,3,3,3,TRUE,Potentially Life-Threatening,1,MEDIC,2,9,11,Excelsior,"(37.726687722832274, -122.43060321558012)",193411065-87,6,9,4,7,28861,5,7,,,
192762503,QRV2,19118592,Medical Incident,10/3/2019,10/3/2019,10/3/2019 14:56,10/3/2019 14:56,10/3/2019 14:57,10/3/2019 14:58,10/3/2019 15:09,,,Code 2 Transport,10/3/2019 15:32,3RD ST/FOLSOM ST,San Francisco,94107,B03,1,2176,3,3,3,TRUE,Potentially Life-Threatening,1,SUPPORT,2,3,6,South of Market,"(37.78378493291449, -122.39893033341863)",192762503-QRV2,9,6,2,34,28856,34,2,,,
172601145,T19,17109463,Alarms,9/17/2017,9/17/2017,9/17/2017 10:11,9/17/2017 10:13,9/17/2017 10:14,9/17/2017 10:15,,,,Fire,9/17/2017 10:33,3200 Block of 20TH AV,San Francisco,94132,B08,19,8861,3,3,3,FALSE,Alarm,1,TRUCK,3,8,7,Lakeshore,"(37.728544475421, -122.4756468291)",172601145-T19,4,1,5,16,64,14,8,,,
163292571,73,16131492,Medical Incident,11/24/2016,11/24/2016,11/24/2016 22:20,11/24/2016 22:20,11/24/2016 22:21,11/24/2016 22:22,11/24/2016 22:33,11/24/2016 22:43,11/24/2016 23:00,Other,11/24/2016 23:30,2600 Block of GEARY BLVD,San Francisco,94115,B05,10,4365,2,2,2,TRUE,Non Life-threatening,1,MEDIC,1,5,2,Lone Mountain/USF,"(37.782248367916, -122.446592481498)",163292571-73,1,15,8,18,54,16,5,,,
200023831,B03,20000934,Alarms,1/2/2020,1/2/2020,1/2/2020 22:00,1/2/2020 22:01,1/2/2020 22:02,1/2/2020 22:03,1/2/2020 22:06,,,Fire,1/2/2020 22:19,1800 Block of OWENS ST,San Francisco,94158,B03,4,2436,3,3,3,FALSE,Alarm,1,CHIEF,3,3,6,Potrero Hill,"(37.765374971628354, -122.39247608408243)",200023831-B03,9,14,3,26,310,29,3,,,
113220359,B10,11107106,Alarms,11/18/2011,11/18/2011,11/18/2011 21:56,11/18/2011 21:57,11/18/2011 21:57,11/18/2011 21:59,,,,Other,,1500 Block of 3RD ST,SF,94158,B03,29,2434,3,3,3,FALSE,,1,CHIEF,1,3,6,Mission Bay,"(37.769275843392, -122.389490077568)",113220359-B10,9,14,3,4,310,20,3,,,
42370043,M05,4065381,Medical Incident,8/24/2004,8/23/2004,8/24/2004 5:45,8/24/2004 5:45,8/24/2004 5:45,8/24/2004 5:47,8/24/2004 5:50,,,Other,8/24/2004 6:11,1000 Block of FELL ST,SF,94117,B05,A2,3641,3,3,3,TRUE,,1,MEDIC,2,5,5,Hayes Valley,"(37.774321949631, -122.435106881039)",042370043-M05,11,15,8,9,29492,10,5,,,
200390425,KM07,20016682,Medical Incident,2/8/2020,2/7/2020,2/8/2020 4:33,2/8/2020 4:35,2/8/2020 4:35,2/8/2020 4:36,,,,Fire,2/8/2020 4:45,1100 Block of GREENWICH ST,San Francisco,94109,B01,28,1612,2,3,3,FALSE,Non Life-threatening,1,PRIVATE,3,1,2,Russian Hill,"(37.80126641196036, -122.41824712781222)",200390425-KM07,1,5,1,32,28858,32,1,,,
192903766,B08,19125067,Alarms,10/17/2019,10/17/2019,10/17/2019 19:17,10/17/2019 19:19,10/17/2019 19:19,10/17/2019 19:20,,,,Fire,10/17/2019 19:23,1400 Block of 15TH AV,San Francisco,94122,B08,22,7365,3,3,3,FALSE,Alarm,1,CHIEF,2,8,7,Inner Sunset,"(37.76095202649628, -122.47252455676032)",192903766-B08,4,1,5,14,56,12,8,,,
193092374,E32,19133677,Structure Fire,11/5/2019,11/5/2019,11/5/2019 14:35,11/5/2019 14:36,11/5/2019 14:36,11/5/2019 14:37,11/5/2019 14:40,,,Fire,11/5/2019 14:54,200 Block of NEY ST,San Francisco,94112,B09,32,5682,3,3,3,FALSE,Alarm,1,ENGINE,2,9,11,Excelsior,"(37.730164730627465, -122.42443110644307)",193092374-E32,6,9,4,7,28861,5,7,,,
200042401,RS1,20001662,Structure Fire,1/4/2020,1/4/2020,1/4/2020 16:04,1/4/2020 16:05,1/4/2020 16:06,1/4/2020 16:07,,,,Fire,1/4/2020 16:12,900 Block of GRANT AVE,San Francisco,94108,B01,2,1312,3,3,3,FALSE,Alarm,1,RESCUE SQUAD,9,1,3,Chinatown,"(37.7955932512084, -122.40649559673203)",200042401-RS1,10,3,1,6,28857,4,1,,,
193000337,AM120,19129436,Medical Incident,10/27/2019,10/26/2019,10/27/2019 1:50,10/27/2019 1:50,10/27/2019 1:51,10/27/2019 1:51,10/27/2019 2:06,,,Patient Declined Transport,10/27/2019 2:29,4200 Block of ANZA ST,San Francisco,94121,B07,14,724,B,2,2,FALSE,Non Life-threatening,1,PRIVATE,1,7,1,Outer Richmond,"(37.777804518414825, -122.4937076026464)",193000337-AM120,2,11,9,29,55,26,6,,,
193180504,E13,19137253,Alarms,11/14/2019,11/13/2019,11/14/2019 7:00,11/14/2019 7:02,11/14/2019 7:03,11/14/2019 7:05,11/14/2019 7:06,,,Fire,11/14/2019 7:09,700 Block of MONTGOMERY ST,San Francisco,94111,B01,13,1232,3,3,3,TRUE,Alarm,1,ENGINE,2,1,3,Chinatown,"(37.79596592339713, -122.40347516563519)",193180504-E13,10,3,1,6,28860,4,1,,,
200093800,78,20003829,Medical Incident,1/9/2020,1/9/2020,1/9/2020 20:25,1/9/2020 20:25,1/9/2020 20:26,1/9/2020 20:26,1/9/2020 20:30,1/9/2020 20:59,1/9/2020 21:15,Code 2 Transport,1/9/2020 21:44,ESSEX ST/FOLSOM ST,San Francisco,94105,B03,35,2136,C,3,3,TRUE,Potentially Life-Threatening,1,MEDIC,1,3,6,Financial District/South Beach,"(37.7863789368239, -122.39564546673063)",200093800-78,9,6,2,8,28855,6,2,,,
193453418,E05,19149472,Medical Incident,12/11/2019,12/11/2019,12/11/2019 17:33,12/11/2019 17:36,12/11/2019 17:37,12/11/2019 17:38,12/11/2019 17:43,,,Code 2 Transport,12/11/2019 18:08,700 Block of FULTON ST,San Francisco,94102,B05,5,3521,2,2,2,TRUE,Non Life-threatening,1,ENGINE,1,2,5,Hayes Valley,"(37.77806970976203, -122.42823437124446)",193453418-E05,11,7,6,9,28852,10,9,,,
193213834,79,19138935,Medical Incident,11/17/2019,11/17/2019,11/17/2019 22:47,11/17/2019 22:47,11/17/2019 22:52,11/17/2019 22:52,11/17/2019 23:06,11/17/2019 23:19,11/17/2019 23:32,Code 2 Transport,11/18/2019 0:14,2800 Block of TAYLOR ST,San Francisco,94133,B01,28,1521,A,2,2,TRUE,Non Life-threatening,1,MEDIC,1,1,3,North Beach,"(37.808595144085636, -122.41578481025888)",193213834-79,10,3,1,23,308,23,1,,,
193502859,E24,19151709,Medical Incident,12/16/2019,12/16/2019,12/16/2019 17:20,12/16/2019 17:21,12/16/2019 17:21,12/16/2019 17:23,,,,Code 2 Transport,12/16/2019 17:29,300 Block of PARNASSUS AVE,San Francisco,94117,B05,12,5155,3,3,3,FALSE,Potentially Life-Threatening,1,ENGINE,3,5,5,Inner Sunset,"(37.764084012674914, -122.45593384681044)",193502859-E24,11,15,8,14,29492,12,5,,,
200331972,62,20014211,Traffic Collision,2/2/2020,2/2/2020,2/2/2020 14:36,2/2/2020 14:44,2/2/2020 14:44,2/2/2020 14:45,,,,Code 2 Transport,2/2/2020 14:46,101 NB Z BAYSHR 3RD/PAUL AV,San Francisco,94134,B10,44,6542,2,2,2,TRUE,Non Life-threatening,1,MEDIC,2,10,9,Portola,"(37.72382363385559, -122.40141524801041)",200331972-62,7,10,3,25,309,28,3,,,
193261494,65,19140845,Medical Incident,11/22/2019,11/22/2019,11/22/2019 10:54,11/22/2019 10:54,11/22/2019 10:55,11/22/2019 10:55,11/22/2019 11:00,11/22/2019 11:17,11/22/2019 11:33,Code 2 Transport,11/22/2019 12:13,2400 Block of SACRAMENTO ST,San Francisco,94115,B04,38,3544,3,3,3,TRUE,Potentially Life-Threatening,1,MEDIC,2,4,2,Pacific Heights,"(37.789810000570405, -122.43380005178419)",193261494-65,1,13,6,30,29490,27,9,,,
192932518,55,19126259,Traffic Collision,10/20/2019,10/20/2019,10/20/2019 16:22,10/20/2019 16:22,10/20/2019 16:23,10/20/2019 16:23,,,,Unable to Locate,10/20/2019 16:30,FELL ST/BUCHANAN ST,San Francisco,94102,B02,5,3423,A,3,3,TRUE,Potentially Life-Threatening,1,MEDIC,2,2,5,Hayes Valley,"(37.775317308271404, -122.4277240466077)",192932518-55,11,7,6,9,28852,10,9,,,
193482263,E25,19150815,Medical Incident,12/14/2019,12/14/2019,12/14/2019 15:18,12/14/2019 15:18,12/14/2019 15:19,12/14/2019 15:21,12/14/2019 15:22,,,Patient Declined Transport,12/14/2019 15:31,1700 Block of CESAR CHAVEZ ST,San Francisco,94107,B10,25,2634,3,3,3,FALSE,Potentially Life-Threatening,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.74991426543663, -122.39432898374216)",193482263-E25,8,10,3,1,58,1,3,,,
200142997,56,20005934,Medical Incident,1/14/2020,1/14/2020,1/14/2020 16:29,1/14/2020 16:32,1/14/2020 16:33,1/14/2020 16:33,1/14/2020 16:38,1/14/2020 17:21,1/14/2020 17:34,Code 2 Transport,1/14/2020 18:24,1300 Block of PINE ST,San Francisco,94109,B04,41,1562,2,2,2,TRUE,Potentially Life-Threatening,1,MEDIC,1,4,3,Nob Hill,"(37.78988335136743, -122.41801242278349)",200142997-56,10,13,1,21,28858,21,1,,,
193332282,KM06,19143847,Medical Incident,11/29/2019,11/29/2019,11/29/2019 16:40,11/29/2019 16:42,11/29/2019 16:43,11/29/2019 16:44,11/29/2019 17:06,11/29/2019 17:52,11/29/2019 18:05,Code 2 Transport,11/29/2019 18:54,SACRAMENTO ST/GRANT AV,San Francisco,94108,B01,13,1244,2,2,2,FALSE,Non Life-threatening,1,PRIVATE,2,1,3,Chinatown,"(37.79337970400266, -122.4061294844388)",193332282-KM06,10,3,1,6,28857,4,1,,,
200360712,RS2,20015378,Structure Fire,2/5/2020,2/5/2020,2/5/2020 8:04,2/5/2020 8:07,2/5/2020 8:07,2/5/2020 8:09,2/5/2020 8:10,,,Fire,2/5/2020 8:15,500 Block of CAPP ST,San Francisco,94110,B06,7,5446,3,3,3,FALSE,Alarm,1,RESCUE SQUAD,2,6,9,Mission,"(37.7578954432039, -122.41795728711763)",200360712-RS2,7,2,7,20,28859,19,4,,3,
200201881,71,20008444,Medical Incident,1/20/2020,1/20/2020,1/20/2020 13:32,1/20/2020 13:36,1/20/2020 13:36,1/20/2020 13:37,1/20/2020 13:43,,,Gone on Arrival,1/20/2020 13:45,500 Block of SUTTER ST,San Francisco,94108,B01,41,1412,2,2,2,TRUE,Potentially Life-Threatening,1,MEDIC,1,1,3,Nob Hill,"(37.78917521379033, -122.40942968306595)",200201881-71,10,5,1,21,28857,21,1,,,
193293623,RC1,19142287,Medical Incident,11/25/2019,11/25/2019,11/25/2019 21:07,11/25/2019 21:07,11/25/2019 21:08,11/25/2019 21:11,11/25/2019 21:16,,,Code 2 Transport,11/25/2019 21:42,0 Block of 2ND ST,San Francisco,94105,B03,35,2145,B,2,2,TRUE,Non Life-threatening,1,RESCUE CAPTAIN,1,3,6,Financial District/South Beach,"(37.78818590423515, -122.40011998007607)",193293623-RC1,9,12,2,8,28855,6,2,,,
200253168,E28,20010794,Medical Incident,1/25/2020,1/25/2020,1/25/2020 19:44,1/25/2020 19:47,1/25/2020 19:48,1/25/2020 19:48,1/25/2020 19:51,,,Code 2 Transport,1/25/2020 20:05,1000 Block of CHESTNUT ST,San Francisco,94109,B01,28,1613,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,1,2,Russian Hill,"(37.802864995991825, -122.42065066827944)",200253168-E28,1,5,1,32,28858,32,1,,,
193302782,E03,19142579,Medical Incident,11/26/2019,11/26/2019,11/26/2019 16:09,11/26/2019 16:10,11/26/2019 16:10,11/26/2019 16:11,11/26/2019 16:13,,,Code 2 Transport,11/26/2019 16:19,ELLIS ST/JONES ST,San Francisco,94102,B03,3,1461,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,2,6,Tenderloin,"(37.78486624373789, -122.4127821282671)",193302782-E03,9,7,10,36,28852,36,10,,,1
193174136,79,19137151,Medical Incident,11/13/2019,11/13/2019,11/13/2019 21:45,11/13/2019 21:48,11/13/2019 21:48,11/13/2019 21:48,11/13/2019 22:05,11/13/2019 22:21,11/13/2019 22:43,Code 2 Transport,11/13/2019 23:46,BAYSHORE BL/SUNNYDALE AV,San Francisco,94134,B10,44,6254,2,2,2,TRUE,Non Life-threatening,1,MEDIC,1,9,10,Bayview Hunters Point,"(37.7088536077159, -122.40510945513228)",193174136-79,8,9,3,1,309,1,3,,,
200371642,B04,20015934,Structure Fire,2/6/2020,2/6/2020,2/6/2020 12:02,2/6/2020 12:03,2/6/2020 12:03,2/6/2020 12:04,2/6/2020 12:15,,,Fire,2/6/2020 13:12,700 Block of 7TH AVE,San Francisco,94118,B07,31,7132,3,3,3,FALSE,Fire,1,CHIEF,12,7,1,Inner Richmond,"(37.77440794262095, -122.46480778984457)",200371642-B04,2,11,9,11,54,11,6,,,
200330127,AM244,20013987,Medical Incident,2/2/2020,2/1/2020,2/2/2020 0:56,2/2/2020 0:56,2/2/2020 1:16,2/2/2020 1:17,,,,No Merit,2/2/2020 1:23,1100 Block of FOLSOM ST,San Francisco,94103,B03,1,2313,A,2,2,FALSE,Non Life-threatening,1,PRIVATE,4,2,6,South of Market,"(37.77562329380876, -122.40916530235312)",200330127-AM244,9,8,2,34,28853,34,2,1,1,
193502638,E10,19151691,Medical Incident,12/16/2019,12/16/2019,12/16/2019 16:33,12/16/2019 16:34,12/16/2019 16:34,12/16/2019 16:35,12/16/2019 16:38,,,Against Medical Advice,12/16/2019 16:57,3600 Block of SACRAMENTO ST,San Francisco,94118,B07,10,4432,3,2,2,TRUE,Potentially Life-Threatening,1,ENGINE,1,7,2,Presidio Heights,"(37.78750217928465, -122.45278022054482)",193502638-E10,1,11,9,31,54,31,6,,,
193641782,T03,19157524,Alarms,12/30/2019,12/30/2019,12/30/2019 13:26,12/30/2019 13:27,12/30/2019 13:27,12/30/2019 13:28,,,,Fire,12/30/2019 13:32,100 Block of HYDE ST,San Francisco,94102,B02,3,1554,3,3,3,FALSE,Alarm,1,TRUCK,3,2,6,Tenderloin,"(37.78212837200838, -122.41553119824569)",193641782-T03,9,7,10,36,28852,36,10,1,1,1
200372622,E32,20016032,Medical Incident,2/6/2020,2/6/2020,2/6/2020 15:59,2/6/2020 16:02,2/6/2020 16:02,2/6/2020 16:02,2/6/2020 16:09,,,Code 2 Transport,2/6/2020 16:19,200 Block of ADDISON ST,San Francisco,94131,B06,26,8122,2,2,2,TRUE,Non Life-threatening,1,ENGINE,1,6,8,Glen Park,"(37.737745740922264, -122.43249810888456)",200372622-E32,5,2,4,10,63,7,7,,,
200144138,E36,20006031,Medical Incident,1/14/2020,1/14/2020,1/14/2020 22:35,1/14/2020 22:36,1/14/2020 22:36,1/14/2020 22:37,1/14/2020 22:40,,,Code 2 Transport,1/14/2020 22:48,0 Block of DORE ST,San Francisco,94103,B02,36,2342,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,2,6,South of Market,"(37.773939265043545, -122.4129478710111)",200144138-E36,9,8,2,34,28853,34,2,1,1,
193131538,RC3,19135273,Medical Incident,11/9/2019,11/9/2019,11/9/2019 11:32,11/9/2019 11:34,11/9/2019 11:45,11/9/2019 11:45,11/9/2019 11:48,,,Code 2 Transport,11/9/2019 12:04,3300 Block of 22ND ST,San Francisco,94110,B06,11,5471,2,2,2,TRUE,Non Life-threatening,1,RESCUE CAPTAIN,3,6,8,Mission,"(37.75533629253323, -122.4212045701856)",193131538-RC3,5,2,7,20,28859,19,4,,,
200030316,RS1,20001027,Traffic Collision,1/3/2020,1/2/2020,1/3/2020 4:46,1/3/2020 4:46,1/3/2020 4:46,1/3/2020 4:49,,,,Against Medical Advice,1/3/2020 4:51,WASHINGTON ST/WEBSTER ST,San Francisco,94115,B04,38,3436,A,3,3,FALSE,Potentially Life-Threatening,1,RESCUE SQUAD,5,4,2,Pacific Heights,"(37.791799646237365, -122.43273955103436)",200030316-RS1,1,13,6,30,29490,27,9,,,
200041958,RA48,20001623,Medical Incident,1/4/2020,1/4/2020,1/4/2020 14:04,1/4/2020 14:06,1/4/2020 14:06,1/4/2020 14:08,1/4/2020 14:10,,,Code 3 Transport,1/4/2020 14:25,500 Block of 13TH TI ST,Treasure Isla,94130,B03,48,2931,3,3,3,FALSE,Potentially Life-Threatening,1,MEDIC,2,None,6,Treasure Island,"(37.828009326874124, -122.37298514119543)",200041958-RA48,9,,2,37,62,37,2,,,
193203165,E16,19138410,Water Rescue,11/16/2019,11/16/2019,11/16/2019 17:06,11/16/2019 17:09,11/16/2019 17:09,11/16/2019 17:10,11/16/2019 17:13,,,Code 2 Transport,11/16/2019 17:21,400 Block of MARINA BLVD,San Francisco,94123,B04,16,3664,3,3,3,TRUE,Fire,1,ENGINE,2,4,2,Marina,"(37.80605264152446, -122.44112515835701)",193203165-E16,1,13,6,13,57,17,9,,,
192951982,B05,19127102,Alarms,10/22/2019,10/22/2019,10/22/2019 12:33,10/22/2019 12:34,10/22/2019 12:34,10/22/2019 12:36,10/22/2019 12:39,,,Fire,10/22/2019 12:50,1400 Block of TURK ST,San Francisco,94115,B05,5,3535,3,3,3,FALSE,Alarm,1,CHIEF,2,5,5,Western Addition,"(37.78044571169878, -122.43297344289687)",192951982-B05,11,15,6,39,29490,41,9,,,
193511112,T19,19151951,Alarms,12/17/2019,12/17/2019,12/17/2019 9:54,12/17/2019 9:57,12/17/2019 9:57,12/17/2019 9:58,,,,Fire,12/17/2019 10:00,1900 Block of 41ST AVE,San Francisco,94116,B08,18,7634,3,3,3,FALSE,Alarm,1,TRUCK,1,8,4,Sunset/Parkside,"(37.750406142781955, -122.4997803919041)",193511112-T19,3,1,5,35,29491,35,8,,,
193512401,E48,19152067,Medical Incident,12/17/2019,12/17/2019,12/17/2019 15:04,12/17/2019 15:08,12/17/2019 15:09,12/17/2019 15:10,12/17/2019 15:12,,,Code 2 Transport,12/17/2019 15:33,1400 Block of HALIBUT CT,Treasure Isla,94130,B03,48,2931,2,2,2,TRUE,Potentially Life-Threatening,1,ENGINE,1,None,6,Treasure Island,"(37.824721643268795, -122.37496639605757)",193512401-E48,9,,2,37,62,37,2,,,
193520452,E09,19152308,Medical Incident,12/18/2019,12/17/2019,12/18/2019 6:27,12/18/2019 6:27,12/18/2019 6:28,12/18/2019 6:30,12/18/2019 6:32,,,Code 2 Transport,12/18/2019 6:38,FLOWER ST/PATTERSON ST,San Francisco,94124,B10,9,6376,C,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.742322584961904, -122.40519217004041)",193520452-E09,8,10,3,1,58,1,3,,,
